,title,book,id
0,Digital Medievalist: A Web Community for Medievalists working with Digital Media,"Bodard, G., O’Donnell, D. (2008) ‘We are all together: On publishing a Digital Classicist issue of the Digital Medievalist journal’, Digital Medievalist, 4. DOI: http://doi.org/10.16995/dm.18",../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__0
1,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Digital Medievalist website: https://digitalmedievalist.wordpress.com/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__1
2,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Digital Medievalist journal: https://journal.digitalmedievalist.org/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__2
3,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Digital Medievalist mailing list: https://digitalmedievalist.wordpress.com/mailing-list/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__3
4,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Digital Medievalist on Facebook: https://www.facebook.com/groups/49320313760/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__4
5,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Digital Medievalist on Twitter: https://twitter.com/digitalmedieval,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__5
6,Digital Medievalist: A Web Community for Medievalists working with Digital Media,European Alliance for Social Sciences and Humanities: http://www.eassh.eu/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__6
7,Digital Medievalist: A Web Community for Medievalists working with Digital Media,"Mahony, S. (2017) ‘The Digital Classicist: Building a Digital Humanities Community’, Digital Humanities Quarterly, 11(3). At: http://www.digitalhumanities.org/dhq/vol/11/3/000335/000335.html",../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__7
8,Digital Medievalist: A Web Community for Medievalists working with Digital Media,Open Library of Humanities: https://www.openlibhums.org/,../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__8
9,Digital Medievalist: A Web Community for Medievalists working with Digital Media,"Open Scholarly Communities on the Web, ISCH COST Action A32. At: http://www.cost.eu/COST_Actions/isch/A32",../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__9
10,Digital Medievalist: A Web Community for Medievalists working with Digital Media,"Ross, C. (2012) ‘Social media for digital humanities and community engagement’, In C. Warwick, M. Terras and J. Nyhan (eds.) Digital Humanities in Practice. Facet Publishing, pp. 23-46.",../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__10
11,Digital Medievalist: A Web Community for Medievalists working with Digital Media,"Terras, M. (2012) ‘The Impact of Social Media on the Dissemination of Research: Results of an Experiment’, Journal of Digital Humanities, 1(3). At: http://journalofdigitalhumanities.org/1-3/the-impact-of-social-media-on-the-dissemination-of-research-by-melissa-terras/",../dhd_2018/TEI/FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml__11
12,"Die Ontologie historischer deutschprachiger Berufs- und Amtsbezeichnungen. 
                     Interoperationalität und Berufsklassifizierung durch semantisches Topic Modeling","Brandenburg, Hajo / Gehrmann, Rolf / Krüger, Kersten / Künne, Andreas / Rüffer, Jörn (1991): Berufe in Altona. Berufssystematik für eine präindustrielle Stadtgesellschaft anhand der Volkszählung. Kiel: Arbeitskreis für Wirtschafts- und Sozialgeschichte Schleswig-Holsteins.",../dhd_2018/TEI/NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml__0
