,Cluster ID,Unnamed: 1,title,book,id,date,lang
0,434,0,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Anz, Thomas (2016 2 ): Literatur des Expressionismus, Springer-Verlag GmbH Deutschland.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__0,2016,de
1,435,1,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Bakhtin, Mikhail (1981): „Forms of Time and of the Chronotope in the Novel.“ in: The Dialogic Imagination, Texas: University of Texas Press.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__1,1981,en
2,436,2,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Chapman, Raymond (1984): The Treatment of Sounds in Language and Literature, Basil Oxford: Blackwell Publisher Limited.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__2,1984,en
3,437,3,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Dahl, Alva (2014): The separation of voices in a literary utterance: a dialogical approach to discourse presentation, viewpoint, focalization – and punctuation, Online Proceedings of the Annual Conference of the Poetics and Linguistics Association (PALA).",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__3,2014,en
4,438,4,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Delazari, Ivan (2016): Voicing the Split Narrator: Readers’ Chores in Toni Morrison’s “Recitatif”, in: Mildorf, Jarmila / Kinzel, Till (2016): Audionarratology. Interfaces of Sound and Narrative, De Gruyter.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__4,2016,en
5,0,5,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Genette, Gérard (1969): Figures. Essais, Paris: Editions du Seuil.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__5,1969,fr
6,439,6,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Katsma, Holst (2014): Loudness in the Novel, Stanford, US: Standford Literary Lab.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__6,2014,en
7,440,7,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Kuzmičová , Anežka (2013): Outer vs. Inner Reverberations: Verbal Auditory Imagery and Meaning-Making in Literary Narrative, Journal of Literary Theory 7 (1-2): 111-134, https://philpapers.org/archive/KUZOVI.pdf (04.01.2019).",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__7,2013,en
8,441,8,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","LimeSurvey (2018): LimeSurvey Manual, https://manual.limesurvey.org/LimeSurvey_Manual.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__8,2018,en
9,1,9,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Mildorf, Jarmila / Kinzel, Till (2016) : Audionarratology: Prolegomena to a Research Paradigm Exploring Sound and Narrative, in: Mildorf, Jarmila / Kinzel, Till (2016): Audionarratology. Interfaces of Sound and Narrative, De Gruyter.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__9,2016,en
10,442,10,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Nord , Christiane (1997): Alice abroad: Dealing with descriptions and transcriptions of paralanguage in literary translation , in: Poyatos , Fernando (1997): Nonverbal Communication and Translation: New Perspectives and Challenges in Literature, Interpretation and the Media, Amsterdam/Philadelphia: John Benjamins Publishing Company, 107-130.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__10,1997,en
11,443,11,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Scarry, Elaine (2001): Dreaming by the Book, Princeton: Princeton UP.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__11,2001,en
12,2,12,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Schmid, Helmut (1994): „Probabilistic Part-of-Speech Tagging Using Decision Trees.“ in: Proceedings of International Conference on New Methods in Language Processing, Manchester, UK.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__12,1994,en
13,444,13,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","Winkler, Edeltraud (1987): Syntaktische und semantische Eigenschaften von Verba Dicendi, Akademie der Wissenschaften, DDR.",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__13,1987,de
14,445,14,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Barbiers, Sjef / Wyngaerd, Guido Vanden (o.J.): Tagging protocol. http://www.meertens.knaw.nl/pdf/variatielinguistiek/dialectsyntax/Tagging-protocol.pdf [letzter Zugriff 13. Oktober 2018].",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__0,2018,de
15,3,15,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Breuer, Ludwig M. / Seltmann, Melanie E.-H. (2018): „Sprachdaten(banken) – Aufbereitung und Visualisierung am Beispiel von SyHD und DiÖ“ in: Börner, Ingo / Straub, Wolfgang / Zolles, Christian (eds): Germanistik digital. Digital Humanities in der Sprach- und Literaturwissenschaft. Wien: Facultas, 135-152.",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__1,2018,de
16,4,16,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Budin, Gerhard / Elspaß, Stephan / Lenz, Alexandra N. / Newerkla, Stefan M. / Ziegler, Arne (2018): „Der Spezialforschungsbereich ‚Deutsch in Österreich (DiÖ). Variation – Kontakt – Perzeption‘“ in: Zeitschrift für germanistische Linguistik 46(2), 300-308. DOI: 10.1515/zgl-2018-0017.",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__2,2018,de
17,446,17,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Lemnitzer, Lothar / Zinsmeister, Heike (2010): Korpuslinguistik. Tübingen: Gunter Narr Verlag.",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__3,2010,de
18,5,18,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Schiller, Anne / Teufel, Simone / Stöckert, Christine / Thielen, Christine (1999): Guidelines für das Tagging deutscher Textcorpora mit STTS (Kleines und großes Tagset) http://www.sfs.uni-tuebingen.de/resources/stts-1999.pdf [letzter Zugriff 13. Oktober 2018].",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__4,1999,de
19,447,19,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Telljohann, Heike / Versley, Yannick / Beck, Kathrin / Hinrichs, Erhard / Zastrow, Thomas (2013): “STTS als Part-of-Speech-Tagset in Tübinger Baumbanken” in: Zinsmeister, Heike / Heid, Ulrich / Beck, Kathrin (eds.): Das Stuttgart-Tübingen Wortarten-Tagset – Stand und Perspektiven. Journal for Language Technology and Computational Linguistics 28, 1/2013. 1-15.",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__5,2013,de
20,448,20,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Wandruszka, Mario (1979): Die Mehrsprachigkeit des Menschen. München: Piper.",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__6,1979,de
21,449,21,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Afli, H., Barrault, L., & Schwenk, H. (2016). Building and using multimodal comparable corpora for machine translation. Natural Language Engineering , 22 (4), 603-625.",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__0,2016,en
22,450,22,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Caglayan, O., Barrault, L., & Bougares, F. (2016). Multimodal attention for neural machine translation. arXiv preprint arXiv:1609.03976 .",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__1,2016,en
23,451,23,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Caglayan, O., et al. (2016). Does multimodality help human and machine for translation and image captioning?. arXiv preprint arXiv:1605.09186 .",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__2,2016,en
24,452,24,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Elliott, D., Frank, S., Barrault, L., Bougares, F., & Specia, L. (2017). Findings of the second shared task on multimodal machine translation and multilingual image description. arXiv preprint arXiv:1710.07177 .",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__3,2017,en
25,453,25,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Hussein, A. (2015). The use of triangulation in social sciences research: Can qualitative and quantitative methods be combined?. Journal of comparative social work , 4 (1).",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__4,2015,en
26,454,26,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Serpil, H., Durmuşoğlu-Köse, G., Erbek, M., & Öztürk, Y. (2016). Employing computer-assisted translation tools to achieve terminology standardization in institutional translation: Making a case for higher education. Procedia-Social and Behavioral Sciences , 231 , 76-83.",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__5,2016,en
27,455,27,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Viehhauser, G. (2018). Digital Humanities als Geisteswissenschaften. Zur Auflösung einer Tautologie. Digital Humanities: Perspektiven der Praxis , 1 , 17.",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__6,2018,de
28,456,28,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Binding, Günther / Speer, Andreas [Hrsg.] (1994): Mittelalterliches Kunsterleben nach Quellen des 11. Bis 13. Jahrhunderts. Stuttgart- Bad Cannstatt : Frommann-Holzboog.",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__0,1994,de
29,457,29,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Bühler, Peter [u.a.] (2018): Digitale Farbe. Farbgestaltung – Colormanagement – Farbverarbeitung. Berlin, Heidelberg : Springer Berlin Heidelberg.",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__1,2018,de
30,458,30,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Frodl-Kraft, Eva (1970): Die Glasmalerei. Entwicklung, Technik, Eigenart. Wien [u.a.] : Schroll.",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__2,1970,de
31,459,31,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Géron, Aurélien (2017): Hands-On Machine Learning with Scikit-Learn & TensorFlow. Beijing; Boston; Farnham; Sebastopol; Tokyo : O'Reilly",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__3,2017,en
32,460,32,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Kurz, Susanne (2016): Digital Humanities. Grundlagen und Technologien für die Praxis. Wiesbaden : Springer Vieweg.",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__4,2016,de
