Cluster ID,,title,org,id
0,0,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","GCDH, Universität Göttingen, Deutschland",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__0
0,1,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","GCDH, Universität Göttingen, Deutschland",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__1
0,2,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","GCDH, Universität Göttingen, Deutschland",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__2
0,3,"Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede 
                     2019","GCDH, Universität Göttingen, Deutschland",../dhd_2019/TEI/SPORLEDER_Caroline_Multimodales_Zusammenspiel_von_Text_und_e.xml__3
1,4,"Kann Nonstandard standardisiert werden? 
                     Ein Annotations-Standardisierungsversuch nicht nur von PoS-Tags am Beispiel des Spezialforschungsbereichs „Deutsch in Österreich“ 2019","Universität Wien, Österreich",../dhd_2019/TEI/SELTMANN_Melanie_E__H__Kann_Nonstandard_standardisiert_werde.xml__0
35,5,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Le Mans Université, Frankreich",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__0
35,6,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Le Mans Université, Frankreich",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__1
35,7,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Le Mans Université, Frankreich",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__2
35,8,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk 2019,"Le Mans Université, Frankreich",../dhd_2019/TEI/BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml__3
96,9,Standardisierte Medien. Ein Paradigmenwechsel in den Geisteswissenschaften 2019,"BBAW, Deutschland",../dhd_2019/TEI/ALTHOF_Daniel_Standardisierte_Medien__Ein_Paradigmenwechsel_.xml__0
36,10,Bildbezogenes Machine Learning anhand der Glasmalereien des Corpus Vitrearum Medii Aevi 2019,"Akademie der Wissenschaften und Literatur | Mainz, Deutschland",../dhd_2019/TEI/KOLODZIE_Lisa_Bildbezogenes_Machine_Learning_anhand_der_Glas.xml__0
2,11,Multimodale Stilometrie: Herausforderungen und Potenzial kombinatorischer Bild- und Textanalysen am Beispiel Comics 2019,"Universität Paderborn, Deutschland",../dhd_2019/TEI/DUNST_Alexander_Multimodale_Stilometrie__Herausforderungen_u.xml__0
2,12,Multimodale Stilometrie: Herausforderungen und Potenzial kombinatorischer Bild- und Textanalysen am Beispiel Comics 2019,"Universität Paderborn, Deutschland",../dhd_2019/TEI/DUNST_Alexander_Multimodale_Stilometrie__Herausforderungen_u.xml__1
37,13,Historic Building Information Modeling (hBIM) und Linked Data – Neue Zugänge zum Forschungsgegenstand objektorientierter Fächer 2019,Hochschule Mainz – University of Applied Sciences,../dhd_2019/TEI/KUROCZY_SKI_Piotr_Historic_Building_Information_Modeling__hB.xml__0
37,14,Historic Building Information Modeling (hBIM) und Linked Data – Neue Zugänge zum Forschungsgegenstand objektorientierter Fächer 2019,Hochschule Mainz – University of Applied Sciences,../dhd_2019/TEI/KUROCZY_SKI_Piotr_Historic_Building_Information_Modeling__hB.xml__1
37,15,Historic Building Information Modeling (hBIM) und Linked Data – Neue Zugänge zum Forschungsgegenstand objektorientierter Fächer 2019,Hochschule Mainz – University of Applied Sciences,../dhd_2019/TEI/KUROCZY_SKI_Piotr_Historic_Building_Information_Modeling__hB.xml__2
39,16,Historic Building Information Modeling (hBIM) und Linked Data – Neue Zugänge zum Forschungsgegenstand objektorientierter Fächer 2019,Germanisches Nationalmuseum,../dhd_2019/TEI/KUROCZY_SKI_Piotr_Historic_Building_Information_Modeling__hB.xml__3
