Cluster ID,,book,id,title
58,0,"Abrami, Giuseppe / Mehler, Alexander (2018): „A UIMA Database Interface for Managing NLP-related Text Annotations“ in: Proceedings of the 11th edition of the Language Resources and Evaluation Conference. Miyazaki / Japan",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__0,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
59,1,"Berge, Claus (1989): ""Hypergraphs: Combinatorics of Finite Sets"". North Holland, Amsterdam.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__1,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
60,2,"Kane, Gerald C. / Alavi, Maryam (2008): ""Casting the net: A multimodal network perspective on user-system interactions"" in: Information Systems Research, 19(3), pages 253–272.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__2,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
61,3,"Kühn, Vincent Roy (2018): ""A gesture-based interface to VR"". Bachelor’s thesis, Goethe-Universität Frankfurt.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__3,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
62,4,"Li, Zhi-Chun / Huang, Hai-Jun / Lam, William HK. / Wong, Sze Chun (2007): ""A model for evaluation of transport policies in multimodal networks with road and parking capacity constraints"" in: Journal of Mathematical Modelling and Algorithms 6(2), pages: 239–257.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__4,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
63,5,"Mehler, Alexander / Abrami, Giuseppe / Bruendel, Steffen / Felder, Lisa / Ostertag, Thomas / Spiekermann, Christian (2017): ""Stolperwege: An App for a digital public history of the holocaust"" in: Proceedings of the 28th ACM Conference on Hypertext and Social Media. Pages 319–320. New York, NY, USA. ACM.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__5,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
64,6,"Mehler, Alexander / Abrami, Giuseppe / Spiekermann, Christian / Jostock, Matthias (2018): ""VAnnotatoR: A framework for generating multimodal hypertexts"" in: Proceedings of the 29th ACM Conference on Hypertext and Social Media. New York, NY, USA. ACM.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__6,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
65,7,"Nassar, Huda / Gleich, David F. (2017): ""Multimodal network alignment"" in: CoRR, abs/1703.10511.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__7,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
66,8,"Spiekermann, Christian / Abrami, Giuseppe / Mehler, Alexander (2018): ""VAnnotatoR: a gesture-driven annotation framework for linguistic and multimodal annotation"" in: Proceedings of the Annotation, Recognition and Evaluation of Actions (AREA) Workshop. Japan.",ABRAMI_Giuseppe_VAnnotatoR__Ein_Werkzeug_zur_Annotation_mult.xml__8,VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen
67,9,"Borgman, Christine L. (2010): “The Digital Future is Now. A Call to Action for the Humanities”, in: Digital Humanities Quarterly 3 (4): #p16, http://www.digitalhumanities.org/dhq/vol/3/4/000077/000077.html [letzter Zugriff 26. September 2018].",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__0,DHd 2019 Book of Abstracts Hackathon
68,10,"Cremer, Fabian (2018): “Nun sag, wie hältst Du es mit dem Digitalen Publizieren, Digital Humanities?”, in: Digitale Redaktion (Blog), 21.03.2018, https://editorial.hypotheses.org/113 [letzter Zugriff 26. September 2018].",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__1,DHd 2019 Book of Abstracts Hackathon
69,11,"DHd-AG ""Digitales Publizieren"" (2016): “Digitales Publizieren”, Working Paper, 01.03.2016, http://diglib.hab.de/ejournals/ed000008/startx.htm [letzter Zugriff 26. September 2018].",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__2,DHd 2019 Book of Abstracts Hackathon
70,12,"Hannesschläger, Vanessa / Andorfer, Peter (2018): Menschen gendern? Datenmodellierung zur Erhebung von Geschlechterverteilung am Beispiel der TEI2016 Abstracts App, DHd 2018, Köln, https://doi.org/10.5281/zenodo.1182576",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__3,DHd 2019 Book of Abstracts Hackathon
0,13,"Jannidis, Fotis / Kohle, Hubertus / Rehbein, Malte (2017)(eds.): Digital Humanities. Eine Einführung, Stuttgart: J. B. Metzler.",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__4,DHd 2019 Book of Abstracts Hackathon
1,14,"Kohle, Hubertus (2017): “Digitales Publizieren”, in: Jannidis, Fotis et al. (eds.): Digital Humanities. Eine Einführung, Stuttgart: J. B. Metzler 199-205.",ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml__5,DHd 2019 Book of Abstracts Hackathon
